"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"business-investor-model-11-5.nlogo"
"Figure 12.2"
"04/21/2025 23:45:31:464 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-19","19","-19","19"
"[run number]","investors-n","wealth-start","profit-mean","risk-of-failing-max","decision-time-horizon","investors-color","businesses-color-positive","businesses-color-negative","failed-businesses-color","[step]","mean [risk-of-failing] of turtles-on patches"
"1","25","0","5000","0.1","1","25","105","15","9","33","0.028980312181514752"
"6","25","0","5000","0.1","1","25","105","15","9","47","0.027775549543638187"
"2","25","0","5000","0.1","1","25","105","15","9","32","0.027612209780499993"
"3","25","0","5000","0.1","1","25","105","15","9","38","0.024149512838245114"
"8","25","0","5000","0.1","1","25","105","15","9","32","0.03263628202100648"
"4","25","0","5000","0.1","1","25","105","15","9","31","0.03495509363571076"
"6","25","0","5000","0.1","1","25","105","15","9","48","0.02777554954363819"
"1","25","0","5000","0.1","1","25","105","15","9","34","0.024838561843843303"
"3","25","0","5000","0.1","1","25","105","15","9","39","0.025433318720765888"
"7","25","0","5000","0.1","1","25","105","15","9","41","0.02736327983567947"
"8","25","0","5000","0.1","1","25","105","15","9","33","0.03053447687057438"
"2","25","0","5000","0.1","1","25","105","15","9","33","0.02546830944034907"
